Participant ID,Task/Model,Sample Filename,Score (1-5)
1,Task 1 (LSTM AE),task1_sample_3.mid,1.1
2,Task 1 (LSTM AE),task1_sample_2.mid,1.2
3,Task 1 (LSTM AE),task1_sample_4.mid,1.3
4,Task 1 (LSTM AE),task1_sample_1.mid,1.4
5,Task 1 (LSTM AE),task1_sample_5.mid,1.6
6,Task 2 (VAE),task2_sample_2.mid,2.6
7,Task 2 (VAE),task2_sample_3.mid,3.0
8,Task 2 (VAE),task2_sample_4.mid,3.1
9,Task 2 (VAE),task2_sample_1.mid,3.1
10,Task 2 (VAE),task2_sample_5.mid,3.4
11,Task 3 (Transformer),task3_sample_9.mid,4.1
12,Task 3 (Transformer),task3_sample_4.mid,4.4
13,Task 3 (Transformer),task3_sample_10.mid,4.5
14,Task 3 (Transformer),task3_sample_3.mid,4.7
15,Task 3 (Transformer),task3_sample_5.mid,4.8
